circuit D
t	Ve	Vs
4.04998e-008	0.562093	0.172111
4.05998e-008	0.556885	0.17209
4.06998e-008	0.551656	0.172064
4.07998e-008	0.546404	0.172031
4.08998e-008	0.541131	0.171992
4.09998e-008	0.535837	0.171948
4.10998e-008	0.530522	0.171897
4.11998e-008	0.525185	0.17184
4.12998e-008	0.519828	0.171777
4.13998e-008	0.51445	0.171708
4.14998e-008	0.509053	0.171632
4.15998e-008	0.503634	0.171551
4.16998e-008	0.498196	0.171463
4.17998e-008	0.492739	0.171369
4.18998e-008	0.487262	0.171269
4.19998e-008	0.481765	0.171163
4.20998e-008	0.47625	0.17105
4.21998e-008	0.470716	0.170932
4.22998e-008	0.465163	0.170807
4.23998e-008	0.459592	0.170676
4.24998e-008	0.454003	0.170539
4.25998e-008	0.448396	0.170395
4.26998e-008	0.442771	0.170245
4.27998e-008	0.437129	0.170089
4.28998e-008	0.431469	0.169927
4.29998e-008	0.425792	0.169758
4.30998e-008	0.420099	0.169583
4.31998e-008	0.414389	0.169402
4.32998e-008	0.408663	0.169214
4.33998e-008	0.40292	0.16902
4.34998e-008	0.397162	0.16882
4.35998e-008	0.391388	0.168613
4.36998e-008	0.385598	0.168401
4.37998e-008	0.379793	0.168181
4.38998e-008	0.373974	0.167956
4.39998e-008	0.368139	0.167724
4.40997e-008	0.36229	0.167486
4.41997e-008	0.356427	0.167241
4.42997e-008	0.350549	0.16699
4.43997e-008	0.344658	0.166733
4.44997e-008	0.338753	0.16647
4.45997e-008	0.332835	0.1662
4.46997e-008	0.326904	0.165923
4.47997e-008	0.320959	0.16564
4.48997e-008	0.315002	0.165351
4.49997e-008	0.309033	0.165056
4.50997e-008	0.303051	0.164754
4.51997e-008	0.297058	0.164446
4.52997e-008	0.291053	0.164131
4.53997e-008	0.285036	0.16381
4.54997e-008	0.279008	0.163482
4.55997e-008	0.272969	0.163149
4.56997e-008	0.266919	0.162808
4.57997e-008	0.260859	0.162462
4.58997e-008	0.254788	0.162109
4.59997e-008	0.248707	0.161749
4.60997e-008	0.242617	0.161384
4.61997e-008	0.236517	0.161012
4.62997e-008	0.230407	0.160633
4.63997e-008	0.224289	0.160248
4.64997e-008	0.218161	0.159857
4.65997e-008	0.212025	0.159459
4.66997e-008	0.205881	0.159055
4.67997e-008	0.199728	0.158645
4.68997e-008	0.193568	0.158228
4.69997e-008	0.1874	0.157805
4.70997e-008	0.181225	0.157375
4.71997e-008	0.175042	0.156939
4.72997e-008	0.168852	0.156497
4.73997e-008	0.162656	0.156048
4.74997e-008	0.156454	0.155593
4.75997e-008	0.150245	0.155132
4.76997e-008	0.14403	0.154664
4.77997e-008	0.13781	0.15419
4.78997e-008	0.131584	0.15371
4.79997e-008	0.125353	0.153223
4.80997e-008	0.119117	0.15273
4.81997e-008	0.112877	0.15223
4.82997e-008	0.106631	0.151725
4.83997e-008	0.100382	0.151213
4.84997e-008	0.0941289	0.150695
4.85997e-008	0.0878719	0.15017
4.86997e-008	0.0816114	0.149639
4.87997e-008	0.0753477	0.149102
4.88997e-008	0.0690811	0.148559
4.89997e-008	0.0628117	0.148009
4.90997e-008	0.0565398	0.147453
4.91997e-008	0.0502657	0.146891
4.92997e-008	0.0439896	0.146323
4.93997e-008	0.0377118	0.145748
4.94997e-008	0.0314325	0.145167
4.95997e-008	0.025152	0.14458
4.96997e-008	0.0188704	0.143987
4.97996e-008	0.0125881	0.143387
4.98996e-008	0.00630535	0.142782
4.99996e-008	2.23224e-005	0.14217
5.00996e-008	-0.00626071	0.141552
5.01996e-008	-0.0125435	0.140928
5.02996e-008	-0.0188258	0.140298
5.03996e-008	-0.0251073	0.139662
5.04996e-008	-0.0313879	0.139019
5.05996e-008	-0.0376672	0.138371
5.06996e-008	-0.043945	0.137716
5.07996e-008	-0.0502211	0.137056
5.08996e-008	-0.0564952	0.136389
5.09996e-008	-0.0627671	0.135716
5.10996e-008	-0.0690365	0.135037
5.11996e-008	-0.0753032	0.134353
5.12996e-008	-0.0815669	0.133662
5.13996e-008	-0.0878274	0.132965
5.14996e-008	-0.0940844	0.132262
5.15996e-008	-0.100338	0.131554
5.16996e-008	-0.106587	0.130839
5.17996e-008	-0.112832	0.130118
5.18996e-008	-0.119073	0.129392
5.19996e-008	-0.125309	0.128659
5.20996e-008	-0.13154	0.127921
5.21996e-008	-0.137766	0.127177
5.22996e-008	-0.143986	0.126427
5.23996e-008	-0.150201	0.125671
5.24996e-008	-0.15641	0.12491
5.25996e-008	-0.162612	0.124142
5.26996e-008	-0.168808	0.123369
5.27996e-008	-0.174998	0.12259
5.28996e-008	-0.181181	0.121805
5.29996e-008	-0.187356	0.121015
5.30996e-008	-0.193524	0.120219
5.31996e-008	-0.199685	0.119417
5.32996e-008	-0.205837	0.118609
5.33996e-008	-0.211982	0.117796
5.34996e-008	-0.218118	0.116977
5.35996e-008	-0.224245	0.116153
5.36996e-008	-0.230364	0.115323
5.37996e-008	-0.236473	0.114488
5.38996e-008	-0.242573	0.113647
5.39996e-008	-0.248664	0.1128
5.40996e-008	-0.254745	0.111948
5.41996e-008	-0.260815	0.11109
5.42996e-008	-0.266876	0.110227
5.43996e-008	-0.272926	0.109359
5.44996e-008	-0.278965	0.108485
5.45996e-008	-0.284993	0.107605
5.46996e-008	-0.29101	0.106721
5.47996e-008	-0.297015	0.105831
5.48996e-008	-0.303009	0.104935
5.49996e-008	-0.30899	0.104035
5.50996e-008	-0.31496	0.103129
5.51996e-008	-0.320917	0.102217
5.52996e-008	-0.326861	0.101301
5.53995e-008	-0.332793	0.100379
5.54995e-008	-0.338711	0.0994524
5.55995e-008	-0.344616	0.0985203
5.56995e-008	-0.350507	0.0975832
5.57995e-008	-0.356385	0.0966409
5.58995e-008	-0.362248	0.0956935
5.59995e-008	-0.368098	0.0947411
5.60995e-008	-0.373932	0.0937836
5.61995e-008	-0.379752	0.0928211
5.62995e-008	-0.385557	0.0918537
5.63995e-008	-0.391347	0.0908813
5.64995e-008	-0.397121	0.0899039
5.65995e-008	-0.402879	0.0889216
5.66995e-008	-0.408622	0.0879345
5.67995e-008	-0.414348	0.0869425
5.68995e-008	-0.420059	0.0859457
5.69995e-008	-0.425752	0.0849441
5.70995e-008	-0.431429	0.0839377
5.71995e-008	-0.437088	0.0829265
5.72995e-008	-0.442731	0.0819107
5.73995e-008	-0.448356	0.0808902
5.74995e-008	-0.453963	0.079865
5.75995e-008	-0.459553	0.0788352
5.76995e-008	-0.465124	0.0778008
5.77995e-008	-0.470677	0.0767618
5.78995e-008	-0.476211	0.0757183
5.79995e-008	-0.481726	0.0746702
5.80995e-008	-0.487223	0.0736177
5.81995e-008	-0.4927	0.0725608
5.82995e-008	-0.498158	0.0714994
5.83995e-008	-0.503596	0.0704337
5.84995e-008	-0.509014	0.0693635
5.85995e-008	-0.514412	0.0682891
5.86995e-008	-0.51979	0.0672103
5.87995e-008	-0.525147	0.0661273
5.88995e-008	-0.530484	0.0650401
5.89995e-008	-0.5358	0.0639486
5.90995e-008	-0.541094	0.062853
5.91995e-008	-0.546367	0.0617532
5.92995e-008	-0.551619	0.0606494
5.93995e-008	-0.556848	0.0595414
5.94995e-008	-0.562056	0.0584295
5.95995e-008	-0.567242	0.0573135
5.96995e-008	-0.572405	0.0561935
5.97995e-008	-0.577546	0.0550696
5.98995e-008	-0.582664	0.0539417
5.99995e-008	-0.587759	0.05281
6.00995e-008	-0.592831	0.0516744
6.01995e-008	-0.597879	0.050535
6.02995e-008	-0.602904	0.0493919
6.03995e-008	-0.607905	0.048245
6.04995e-008	-0.612882	0.0470944
6.05995e-008	-0.617834	0.0459401
6.06995e-008	-0.622763	0.0447822
6.07995e-008	-0.627667	0.0436207
6.08995e-008	-0.632546	0.0424556
6.09995e-008	-0.6374	0.041287
6.10995e-008	-0.642228	0.0401149
6.11995e-008	-0.647032	0.0389393
6.12995e-008	-0.65181	0.0377603
6.13995e-008	-0.656562	0.036578
6.14995e-008	-0.661289	0.0353922
6.15995e-008	-0.665989	0.0342032
6.16995e-008	-0.670663	0.0330109
6.17995e-008	-0.67531	0.0318153
6.18995e-008	-0.679931	0.0306165
6.19995e-008	-0.684525	0.0294146
6.20995e-008	-0.689092	0.0282095
6.21995e-008	-0.693631	0.0270013
6.22995e-008	-0.698144	0.0257901
6.23995e-008	-0.702629	0.0245758
6.24995e-008	-0.707086	0.0233586
6.25995e-008	-0.711515	0.0221384
6.26995e-008	-0.715916	0.0209153
6.27995e-008	-0.720288	0.0196893
6.28995e-008	-0.724633	0.0184606
6.29995e-008	-0.728948	0.017229
6.30995e-008	-0.733235	0.0159946
6.31995e-008	-0.737493	0.0147576
6.32995e-008	-0.741722	0.0135178
6.33995e-008	-0.745922	0.0122755
6.34995e-008	-0.750092	0.0110305
6.35995e-008	-0.754233	0.00978296
6.36995e-008	-0.758343	0.0085329
6.37995e-008	-0.762424	0.00728037
6.38995e-008	-0.766475	0.00602539
6.39996e-008	-0.770495	0.00476801
6.40996e-008	-0.774485	0.00350826
6.41996e-008	-0.778445	0.0022462
6.42996e-008	-0.782373	0.000981849
6.43996e-008	-0.786271	-0.000284743
6.44996e-008	-0.790138	-0.00155354
6.45996e-008	-0.793974	-0.00282449
6.46996e-008	-0.797778	-0.00409757
6.47996e-008	-0.801551	-0.00537273
6.48996e-008	-0.805292	-0.00664993
6.49996e-008	-0.809001	-0.00792913
6.50996e-008	-0.812678	-0.00921029
6.51996e-008	-0.816324	-0.0104934
6.52996e-008	-0.819937	-0.0117783
6.53996e-008	-0.823517	-0.0130651
6.54996e-008	-0.827066	-0.0143537
6.55996e-008	-0.830581	-0.015644
6.56996e-008	-0.834064	-0.0169361
6.57996e-008	-0.837514	-0.0182298
6.58996e-008	-0.84093	-0.0195251
6.59996e-008	-0.844314	-0.020822
6.60996e-008	-0.847664	-0.0221205
6.61996e-008	-0.850981	-0.0234205
6.62996e-008	-0.854264	-0.0247219
6.63996e-008	-0.857513	-0.0260248
6.64996e-008	-0.860729	-0.027329
6.65996e-008	-0.863911	-0.0286345
6.66996e-008	-0.867058	-0.0299414
6.67996e-008	-0.870171	-0.0312495
6.68996e-008	-0.87325	-0.0325588
6.69996e-008	-0.876295	-0.0338692
6.70996e-008	-0.879304	-0.0351808
